step,tag,value,wall_time
0,loss/train,0.21218914,0
0,accuracy/train,0.08,0
0,learning_rate,0.001,0
0,layer_0/weight_norm,0.3347693,0
0,layer_1/weight_norm,0.65723544,0
0,layer_2/weight_norm,0.12858187,0
0,loss/train,0.21218914,0
0,loss/validation,0.19224465,0
0,accuracy/train,0.08,0
0,accuracy/validation,0.07610026,0
1,loss/train,0.21794237,0
1,accuracy/train,0.18,0
1,learning_rate,0.001,0
2,loss/train,0.2826222,0
2,accuracy/train,0.18,0
2,learning_rate,0.001,0
3,loss/train,0.26918885,0
3,accuracy/train,0.26,0
3,learning_rate,0.001,0
4,loss/train,0.3020335,0
4,accuracy/train,0.1,0
4,learning_rate,0.001,0
5,loss/train,0.18715163,0
5,accuracy/train,0.22,0
5,learning_rate,0.001,0
6,loss/train,0.28334683,0
6,accuracy/train,0.22,0
6,learning_rate,0.001,0
7,loss/train,0.29219574,0
7,accuracy/train,0.08,0
7,learning_rate,0.001,0
8,loss/train,0.26339144,0
8,accuracy/train,0.18,0
8,learning_rate,0.001,0
9,loss/train,0.27475253,0
9,accuracy/train,0.18,0
9,learning_rate,0.001,0
10,loss/train,0.29204515,0
10,accuracy/train,0.16,0
10,learning_rate,0.00095,0
10,layer_0/weight_norm,0.3347693,0
10,layer_1/weight_norm,0.65723544,0
10,layer_2/weight_norm,0.12858187,0
10,loss/train,0.29204515,0
10,loss/validation,0.29504487,0
10,accuracy/train,0.16,0
10,accuracy/validation,0.16177538,0
11,loss/train,0.26215333,0
11,accuracy/train,0.14,0
11,learning_rate,0.00095,0
12,loss/train,0.2818746,0
12,accuracy/train,0.16,0
12,learning_rate,0.00095,0
13,loss/train,0.3510478,0
13,accuracy/train,0.2,0
13,learning_rate,0.00095,0
14,loss/train,0.2126382,0
14,accuracy/train,0.08,0
14,learning_rate,0.00095,0
15,loss/train,0.29615742,0
15,accuracy/train,0.12,0
15,learning_rate,0.00095,0
16,loss/train,0.28829715,0
16,accuracy/train,0.16,0
16,learning_rate,0.00095,0
17,loss/train,0.29088485,0
17,accuracy/train,0.14,0
17,learning_rate,0.00095,0
18,loss/train,0.25015736,0
18,accuracy/train,0.26,0
18,learning_rate,0.00095,0
19,loss/train,0.29217577,0
19,accuracy/train,0.16,0
19,learning_rate,0.00095,0
20,loss/train,0.23230487,0
20,accuracy/train,0.16,0
20,learning_rate,0.0009025,0
20,layer_0/weight_norm,0.3347693,0
20,layer_1/weight_norm,0.65723544,0
20,layer_2/weight_norm,0.12858187,0
20,loss/train,0.23230487,0
20,loss/validation,0.21554346,0
20,accuracy/train,0.16,0
20,accuracy/validation,0.15494639,0
21,loss/train,0.29595193,0
21,accuracy/train,0.16,0
21,learning_rate,0.0009025,0
22,loss/train,0.32812715,0
22,accuracy/train,0.12,0
22,learning_rate,0.0009025,0
23,loss/train,0.25155154,0
23,accuracy/train,0.16,0
23,learning_rate,0.0009025,0
24,loss/train,0.28612608,0
24,accuracy/train,0.14,0
24,learning_rate,0.0009025,0
25,loss/train,0.27861813,0
25,accuracy/train,0.22,0
25,learning_rate,0.0009025,0
26,loss/train,0.31809014,0
26,accuracy/train,0.18,0
26,learning_rate,0.0009025,0
27,loss/train,0.25696367,0
27,accuracy/train,0.18,0
27,learning_rate,0.0009025,0
28,loss/train,0.2507266,0
28,accuracy/train,0.18,0
28,learning_rate,0.0009025,0
29,loss/train,0.1734371,0
29,accuracy/train,0.16,0
29,learning_rate,0.0009025,0
30,loss/train,0.22130108,0
30,accuracy/train,0.2,0
30,learning_rate,0.000857375,0
30,layer_0/weight_norm,0.3347693,0
30,layer_1/weight_norm,0.65723544,0
30,layer_2/weight_norm,0.12858187,0
30,loss/train,0.22130108,0
30,loss/validation,0.23618326,0
30,accuracy/train,0.2,0
30,accuracy/validation,0.19768526,0
31,loss/train,0.25445262,0
31,accuracy/train,0.18,0
31,learning_rate,0.000857375,0
32,loss/train,0.2572347,0
32,accuracy/train,0.22,0
32,learning_rate,0.000857375,0
33,loss/train,0.22065137,0
33,accuracy/train,0.26,0
33,learning_rate,0.000857375,0
34,loss/train,0.26060474,0
34,accuracy/train,0.24,0
34,learning_rate,0.000857375,0
35,loss/train,0.25236174,0
35,accuracy/train,0.12,0
35,learning_rate,0.000857375,0
36,loss/train,0.28108513,0
36,accuracy/train,0.14,0
36,learning_rate,0.000857375,0
37,loss/train,0.263996,0
37,accuracy/train,0.1,0
37,learning_rate,0.000857375,0
38,loss/train,0.23873179,0
38,accuracy/train,0.22,0
38,learning_rate,0.000857375,0
39,loss/train,0.18233517,0
39,accuracy/train,0.3,0
39,learning_rate,0.000857375,0
40,loss/train,0.19812353,0
40,accuracy/train,0.24,0
40,learning_rate,0.0008145062,0
40,layer_0/weight_norm,0.3347693,0
40,layer_1/weight_norm,0.65723544,0
40,layer_2/weight_norm,0.12858187,0
40,loss/train,0.19812353,0
40,loss/validation,0.19168122,0
40,accuracy/train,0.24,0
40,accuracy/validation,0.22865559,0
41,loss/train,0.30193835,0
41,accuracy/train,0.2,0
41,learning_rate,0.0008145062,0
42,loss/train,0.21696547,0
42,accuracy/train,0.2,0
42,learning_rate,0.0008145062,0
43,loss/train,0.22726601,0
43,accuracy/train,0.2,0
43,learning_rate,0.0008145062,0
44,loss/train,0.27722368,0
44,accuracy/train,0.08,0
44,learning_rate,0.0008145062,0
45,loss/train,0.35732087,0
45,accuracy/train,0.1,0
45,learning_rate,0.0008145062,0
46,loss/train,0.23842724,0
46,accuracy/train,0.3,0
46,learning_rate,0.0008145062,0
47,loss/train,0.3133865,0
47,accuracy/train,0.08,0
47,learning_rate,0.0008145062,0
48,loss/train,0.26828474,0
48,accuracy/train,0.14,0
48,learning_rate,0.0008145062,0
49,loss/train,0.29283044,0
49,accuracy/train,0.16,0
49,learning_rate,0.0008145062,0
50,loss/train,0.25144556,0
50,accuracy/train,0.18,0
50,learning_rate,0.0007737809,0
50,layer_0/weight_norm,0.3347693,0
50,layer_1/weight_norm,0.65723544,0
50,layer_2/weight_norm,0.12858187,0
50,loss/train,0.25144556,0
50,loss/validation,0.2638715,0
50,accuracy/train,0.18,0
50,accuracy/validation,0.18416421,0
51,loss/train,0.317218,0
51,accuracy/train,0.2,0
51,learning_rate,0.0007737809,0
52,loss/train,0.25110656,0
52,accuracy/train,0.2,0
52,learning_rate,0.0007737809,0
53,loss/train,0.25098413,0
53,accuracy/train,0.2,0
53,learning_rate,0.0007737809,0
54,loss/train,0.2938819,0
54,accuracy/train,0.14,0
54,learning_rate,0.0007737809,0
55,loss/train,0.20310163,0
55,accuracy/train,0.16,0
55,learning_rate,0.0007737809,0
56,loss/train,0.24972193,0
56,accuracy/train,0.18,0
56,learning_rate,0.0007737809,0
57,loss/train,0.23762424,0
57,accuracy/train,0.14,0
57,learning_rate,0.0007737809,0
58,loss/train,0.23570032,0
58,accuracy/train,0.14,0
58,learning_rate,0.0007737809,0
59,loss/train,0.25907463,0
59,accuracy/train,0.26,0
59,learning_rate,0.0007737809,0
60,loss/train,0.30745974,0
60,accuracy/train,0.14,0
60,learning_rate,0.00073509186,0
60,layer_0/weight_norm,0.3347693,0
60,layer_1/weight_norm,0.65723544,0
60,layer_2/weight_norm,0.12858187,0
60,loss/train,0.30745974,0
60,loss/validation,0.31219977,0
60,accuracy/train,0.14,0
60,accuracy/validation,0.14163774,0
61,loss/train,0.28894925,0
61,accuracy/train,0.14,0
61,learning_rate,0.00073509186,0
62,loss/train,0.27750596,0
62,accuracy/train,0.12,0
62,learning_rate,0.00073509186,0
63,loss/train,0.2618295,0
63,accuracy/train,0.2,0
63,learning_rate,0.00073509186,0
64,loss/train,0.27247867,0
64,accuracy/train,0.18,0
64,learning_rate,0.00073509186,0
65,loss/train,0.24953045,0
65,accuracy/train,0.16,0
65,learning_rate,0.00073509186,0
66,loss/train,0.23780209,0
66,accuracy/train,0.12,0
66,learning_rate,0.00073509186,0
67,loss/train,0.2332218,0
67,accuracy/train,0.18,0
67,learning_rate,0.00073509186,0
68,loss/train,0.21294643,0
68,accuracy/train,0.22,0
68,learning_rate,0.00073509186,0
69,loss/train,0.30190253,0
69,accuracy/train,0.14,0
69,learning_rate,0.00073509186,0
70,loss/train,0.23409516,0
70,accuracy/train,0.18,0
70,learning_rate,0.0006983372,0
70,layer_0/weight_norm,0.3347693,0
70,layer_1/weight_norm,0.65723544,0
70,layer_2/weight_norm,0.12858187,0
70,loss/train,0.23409516,0
70,loss/validation,0.2530857,0
70,accuracy/train,0.18,0
70,accuracy/validation,0.18597552,0
71,loss/train,0.24279144,0
71,accuracy/train,0.3,0
71,learning_rate,0.0006983372,0
72,loss/train,0.2329278,0
72,accuracy/train,0.18,0
72,learning_rate,0.0006983372,0
73,loss/train,0.3370378,0
73,accuracy/train,0.08,0
73,learning_rate,0.0006983372,0
74,loss/train,0.22613996,0
74,accuracy/train,0.1,0
74,learning_rate,0.0006983372,0
75,loss/train,0.23494454,0
75,accuracy/train,0.22,0
75,learning_rate,0.0006983372,0
76,loss/train,0.21484798,0
76,accuracy/train,0.22,0
76,learning_rate,0.0006983372,0
77,loss/train,0.21002103,0
77,accuracy/train,0.16,0
77,learning_rate,0.0006983372,0
78,loss/train,0.27989167,0
78,accuracy/train,0.22,0
78,learning_rate,0.0006983372,0
79,loss/train,0.28444567,0
79,accuracy/train,0.22,0
79,learning_rate,0.0006983372,0
80,loss/train,0.21652274,0
80,accuracy/train,0.22,0
80,learning_rate,0.00066342036,0
80,layer_0/weight_norm,0.3347693,0
80,layer_1/weight_norm,0.65723544,0
80,layer_2/weight_norm,0.12858187,0
80,loss/train,0.21652274,0
80,loss/validation,0.23262008,0
80,accuracy/train,0.22,0
80,accuracy/validation,0.22823107,0
81,loss/train,0.2895752,0
81,accuracy/train,0.2,0
81,learning_rate,0.00066342036,0
82,loss/train,0.27607659,0
82,accuracy/train,0.18,0
82,learning_rate,0.00066342036,0
83,loss/train,0.28498048,0
83,accuracy/train,0.14,0
83,learning_rate,0.00066342036,0
84,loss/train,0.24769849,0
84,accuracy/train,0.2,0
84,learning_rate,0.00066342036,0
85,loss/train,0.22732832,0
85,accuracy/train,0.24,0
85,learning_rate,0.00066342036,0
86,loss/train,0.22117205,0
86,accuracy/train,0.18,0
86,learning_rate,0.00066342036,0
87,loss/train,0.30727786,0
87,accuracy/train,0.3,0
87,learning_rate,0.00066342036,0
88,loss/train,0.26577863,0
88,accuracy/train,0.14,0
88,learning_rate,0.00066342036,0
89,loss/train,0.27897352,0
89,accuracy/train,0.2,0
89,learning_rate,0.00066342036,0
90,loss/train,0.26851436,0
90,accuracy/train,0.2,0
90,learning_rate,0.0006302493,0
90,layer_0/weight_norm,0.3347693,0
90,layer_1/weight_norm,0.65723544,0
90,layer_2/weight_norm,0.12858187,0
90,loss/train,0.26851436,0
90,loss/validation,0.2828125,0
90,accuracy/train,0.2,0
90,accuracy/validation,0.20105696,0
91,loss/train,0.23867308,0
91,accuracy/train,0.14,0
91,learning_rate,0.0006302493,0
92,loss/train,0.34397903,0
92,accuracy/train,0.16,0
92,learning_rate,0.0006302493,0
93,loss/train,0.2758523,0
93,accuracy/train,0.18,0
93,learning_rate,0.0006302493,0
94,loss/train,0.29396746,0
94,accuracy/train,0.18,0
94,learning_rate,0.0006302493,0
95,loss/train,0.2380389,0
95,accuracy/train,0.22,0
95,learning_rate,0.0006302493,0
96,loss/train,0.22121198,0
96,accuracy/train,0.16,0
96,learning_rate,0.0006302493,0
97,loss/train,0.27349854,0
97,accuracy/train,0.18,0
97,learning_rate,0.0006302493,0
98,loss/train,0.24271783,0
98,accuracy/train,0.26,0
98,learning_rate,0.0006302493,0
99,loss/train,0.29640576,0
99,accuracy/train,0.16,0
99,learning_rate,0.0006302493,0
